Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
CH 4120,Pharmaceutical Chemistry: Drug Design,Chemistry,3.0,CH 2420,,Fall
CH 4130,Professional Development for Chemists 4: Senior Seminar,Chemistry,2.0,CH 3130,,Spring
CH 4140,Introduction to Pharmaceutical Analysis,Chemistry,3.0,CH 2410,,Spring
CH 4190,Current Topics in Pharmaceutical Chemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CH 4210,Instrumental Analysis,Chemistry,3.0,CH 2212 and CH 3510(C) and CH 3511(C),,Fall
CH 4212,Instrumental Analysis,Chemistry,5.0,CH 2212 and CH 3510(C) and CH 3511(C),,Fall
CH 4222,Bioanalytical Chemistry,Chemistry,5.0,CH 1122 or (CH 1160 and CH 1161) and CH 3510(C) and CH 3511(C),,Fall
CH 4290,Current Topics in Analytical Chemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CH 4292,Independent Study in Analytical Chemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 9,,,On Demand
CH 4310,Inorganic Chemistry I,Chemistry,3.0,CH 3520,,Fall
CH 4311,Inorganic Chemistry Laboratory,Chemistry,2.0,CH 4310(C),,Fall
CH 4320,Inorganic Chemistry II,Chemistry,3.0,CH 4310,,Spring
CH 4390,Current Topics in Inorganic Chemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CH 4412,Spectroscopy of Organic Chemistry,Chemistry,3.0,CH 2420,,Spring
CH 4430,Intermediate Organic Chemistry,Chemistry,3.0,CH 2420,,Fall
CH 4490,Current Topics in Organic Chemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CH 4510,Intermediate Physical Chemistry,Chemistry,3.0,CH 3520,,Fall
CH 4515,Atmospheric Chemistry,Chemistry,3.0,CH 3510 or CH 3520(C) or ENVE 4501 or ENVE 4504,,Spring
CH 4519,Transport and Transformation of Organic Pollutants,Chemistry,3.0,ENVE 4501(C) or CH 3510,,Fall - Offered alternate years beginning with the 2009-2010 academic year 
CH 4560,Computational Chemistry,Chemistry,3.0,CH 3520,,Fall - Offered alternate years beginning with the 2010-2011 academic year 
CH 4590,Current Topics in Physical Chemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CH 4610,Introduction to Polymer Science,Chemistry,3.0,CH 1122 or (CH 1160 and CH 1161),,Fall
CH 4620,Polymer Chemistry,Chemistry,3.0,CH 2420,,"Fall, Spring"
CH 4631,Polymer Science Laboratory,Chemistry,2.0,CH 4610(C) or CM 4610(C) or BE 4300(C) or MY 4600(C),,Fall - Offered alternate years beginning with the 2008-2009 academic year 
CH 4640,Synthesis of Nanoparticles,Chemistry,3.0,CH 2410 and CH 2411,,Fall
CH 4690,Current Topics in Polymer Chemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CH 4710,Biomolecular Chemistry I,Chemistry,3.0,CH 2420,,"Fall, Summer"
CH 4720,Biomolecular Chemistry II,Chemistry,3.0,BL 4010 or CH 4710,,Spring
CH 4721,Research Methods in Biomolecular Chemistry,Chemistry,3.0,(CH 4710 and CH 4222) or CH 4212 and CH 4720(C),,Spring
CH 4730,"Confocal Laser Scanning Microscopy: Foundations, Applications, and Advances",Chemistry,1.0,,,"Fall, Summer"
CH 4790,Current Topics in Biochemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CH 4800,Current Topics in Undergraduate Chemistry,Chemistry,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CH 4810,Design and Operation of a High School Chemistry Lab,Chemistry,2.0,CH 2420 and CH 2411 and CH 3020,,Spring - Offered alternate years beginning with the 2013-2014 academic year 
CH 4990,Undergraduate Research in Chemistry,Chemistry,variable to   6.0;  Repeatable to a Max of 12,,,"Fall, Spring, Summer"
CH 4995,Undergrad Research in Biochem,Chemistry,variable to   6.0;  Repeatable to a Max of 12,,,"Fall, Spring, Summer"
CM 1000,Introduction to Chemical Engineering,Chemical Engineering,1.0,,,Fall
CM 2110,Fund of Chem Engg 1,Chemical Engineering,3.0,CH 1112 or (CH 1150 and CH 1151),,"Fall, Summer"
CM 2120,Fund of Chem Engg 2,Chemical Engineering,3.0,CM 2110,,"Spring, Summer"
CM 2200,Intro Minerals and Materials,Chemical Engineering,3.0,,,Fall
CM 3110,Transport/Unit Operations 1,Chemical Engineering,3.0,CM 2120 and (MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160 and PH 2100,,"Fall, Spring"
CM 3120,Transport/Unit Operations 2,Chemical Engineering,3.0,CM 3110 and CM 2120 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Spring
CM 3215,Transport Laboratory,Chemical Engineering,2.0,CM 2120(C) and CM 3110(C) and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,"Fall, Spring"
CM 3230,Thermodynamics for Chemical Engineers,Chemical Engineering,4.0,CH 3510 and MA 3160 and (MA 3520(C) or MA 3521(C) or MA 3530(C) or MA 3560(C)),,"Fall, Spring"
CM 3310,Process Control,Chemical Engineering,3.0,(MA 3520 or MA 3521 or MA 3530 or MA 3560) and PH 2200 and CM 2110 and CM 2120,,Spring
CM 3410,Technical Communication for Chemical Engineering,Chemical Engineering,3.0,UN 1015,,"Fall, Spring, Summer"
CM 3450,Computer-Aided Problem Solving in Chemical Engineering,Chemical Engineering,3.0,CM 2110(C) and MA 2160,,Fall - Offered alternate years beginning with the 2008-2009 academic year 
CM 3510,Chemical Reaction Engineering,Chemical Engineering,3.0,CM 2110 and CM 3110 and CM 3230(C) and (MA 3520 or MA 3521 or MA 3530 or MA 3560) and CH 2410,,Spring
CM 3825,"Sampling, Statistics, and Instrumentation",Chemical Engineering,2.0,,,Spring - Offered alternate years beginning with the 2016-2017 academic year 
CM 3830,Mineral Processing and Extraction Laboratory,Chemical Engineering,1.0,CM 2200(C) or CM 2110(C),,Spring
CM 3974,Fuel Cell Fundamentals,Chemical Engineering,1.0,CH 1112 or (CH 1150 and CH 1151),,"Fall, Spring"
CM 3979,Alternative Energy Technologies and Processes,Chemical Engineering,1.0,CH 1112 or (CH 1150 and CH 1151) and (MA 1160 or MA 1161),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
CM 4000,Chemical Engineering Research,Chemical Engineering,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
CM 4020,Undergraduate Research in Mineral Processing Engineering,Chemical Engineering,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
CM 4040,Undergraduate Research in Biological Engineering,Chemical Engineering,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
CM 4060,Undergraduate Research in Polymer Engineering,Chemical Engineering,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
CM 4080,Undergraduate Research in BioFuels Engineering,Chemical Engineering,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
CM 4110,Unit Operations Laboratory,Chemical Engineering,3.0,CM 3120 and CM 3215 and CM 3230 and CM 3410(C) and CM 3510 and CM 4310(C),,Fall
CM 4120,Chemical Plant Operations Lab,Chemical Engineering,3.0,CM 3215 and CM 3310 and CM 4110,,Spring
CM 4125,Bioprocess Engineering Laboratory,Chemical Engineering,1.0,CM 4710(C) or BL 3210 or BL 3310,,Spring - Offered alternate years beginning with the 2005-2006 academic year 
CM 4310,Chemical Process Safety/Env,Chemical Engineering,3.0,CM 3120 and CM 3230,,Fall
CM 4505,Particle Technology,Chemical Engineering,3.0,,,Spring - Offered alternate years beginning with the 2017-2018 academic year 
CM 4610,Introduction to Polymer Science,Chemical Engineering,3.0,CH 1122 or (CH 1160 and CH 1161),,Fall
CM 4620,Polymer Chemistry,Chemical Engineering,3.0,CH 2420,,"Fall, Spring"
CM 4631,Polymer Science Laboratory,Chemical Engineering,2.0,CM 4610(C) or CH 4610(C) or BE 4300(C) or MY 4600(C),,Fall - Offered alternate years beginning with the 2008-2009 academic year 
CM 4650,Polymer  Rheology,Chemical Engineering,3.0,(CM 3110 or MEEM 3210 or ENG 3200 or MY 3110 or CE 3600) and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
CM 4655,Polymer Rheology Laboratory,Chemical Engineering,1.0,CM 4610(C) or CH 4610(C) or CM 4650(C) or BE 4300(C) or MY 4600(C),,Fall
CM 4710,Biochemical Processes,Chemical Engineering,3.0,CM 3110(C),,Fall - Offered alternate years beginning with the 2005-2006 academic year 
CM 4740,Hydrometallurgy/Pyrometallurgy,Chemical Engineering,4.0,CH 1122 or (CH 1160 and CH 1161),,Spring
CM 4770,Analytical Microdevice Technologies,Chemical Engineering,3.0,PH 2200,,"Fall, Spring - Offered alternate years beginning with the 2012-2013 academic year "
CM 4780,Biomanufacturing and Biosafety,Chemical Engineering,3.0,BL 2100 or CH 4710 or CM 4040 or CM 4080 or CM 4710 or (CM 3110(C) and BL 1040),,Fall - Offered alternate years beginning with the 2014-2015 academic year 
CM 4855,CM Process Analysis &amp; Design I,Chemical Engineering,3.0,CM 3120 and CM 3230 and CM 3410(C) and CM 3510 and CH 2410,,Fall
CM 4860,CM Process Analysis &amp; Design 2,Chemical Engineering,2.0,CM 4855,,Spring
CM 4861,CM Design Laboratory 2,Chemical Engineering,1.0,CM 4860(C),,Spring
CM 4900,Interdisciplinary Design 1,Chemical Engineering,variable to   3.0,,,Fall
CM 4910,Interdisciplinary Design 2,Chemical Engineering,variable to   3.0,,,Spring
CM 4990,Special Topics in CM,Chemical Engineering,variable to   3.0;  Repeatable to a Max of 12,,,On Demand
CMG 1000,Introduction to Construction Management,Construction Management,2.0,,,Fall
CMG 1140,Basic Construction Materials,Construction Management,3.0,,,Spring
CMG 1200,Introduction to Building Information Modeling,Construction Management,2.0,,,Spring
CMG 2110,Building Utility Systems,Construction Management,4.0,PH 1240(C),,Fall
CMG 2120,Statics and Strengths of Materials for Construction,Construction Management,4.0,PH 1110 or PH 1140,,Spring
CMG 2140,Building Materials &amp; Methods,Construction Management,4.0,CMG 1140,,Spring
CMG 2265,Construction Quantity Survey,Construction Management,3.0,CMG 1000 and CMG 1140,,Spring
CMG 3200,Site Planning and Development,Construction Management,4.0,SU 2000,,Spring
CMG 3250,Structural Analysis and Design,Construction Management,3.0,CMG 2120 or MET 2120,,Fall
CMG 3265,Construction Cost Estimating,Construction Management,4.0,CMG 2265,,Fall
CMG 4000,Design-Build Project Delivery,Construction Management,3.0,CMG 3200(C),,On Demand
CMG 4100,Construction Equipment Management,Construction Management,3.0,CMG 3265 and EC 3400,,On Demand
CMG 4120,Construction Planning and Scheduling,Construction Management,3.0,CMG 3265 or CE 3332,,Spring
CMG 4200,Construction Contracts,Construction Management,3.0,BUS 2200,,Spring
CMG 4210,Construction Project Management,Construction Management,4.0,CMG 4200,,Fall
CMG 4300,Construction Finance and Accounting,Construction Management,3.0,ACC 2000 and EC 3400,,Fall
CMG 4400,Construction Safety Management,Construction Management,3.0,,,Fall
CMG 4800,Sustainable Construction,Construction Management,3.0,,,Spring
CMG 4900,Construction Project Simulation,Construction Management,4.0,CMG 3200 and CMG 3250 and CMG 4120(C) and CMG 4210 and HU 3120,,Spring
CMG 4996,Special Topics in Construction Management,Construction Management,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
CMG 4997,Independent Study in Construction Management,Construction Management,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
CMG 4998,Undergraduate Research in Construction Management,Construction Management,variable to   6.0;  Repeatable to a Max of 6,,,On Demand
CS 1000,Explorations in Computing,Computer Science,1.0,,,Fall
CS 1040,Assembly Language Programming,Computer Science,1.0,CS 1122 or CS 1131,,"Fall, Spring, Summer"
CS 1090,Special Topics in Computer Science,Computer Science,variable to   3.0;  May be repeated,,,On Demand
CS 1111,Introduction to Programming in C/C++,Computer Science,3.0,,,Fall
CS 1121,Introduction to Programming I,Computer Science,3.0,MA 1031(C) or MA 1032(C),,"Fall, Spring, Summer"
CS 1122,Introduction to Programming II,Computer Science,3.0,CS 1121,,"Fall, Spring, Summer"
CS 1131,Accelerated Introduction to Programming,Computer Science,5.0,MA 1031 or MA 1032 or MA 1160(C) or MA 1161(C),,Fall
CS 1142,Programming at the Hardware Software Interface,Computer Science,3.0,CS 1122 or CS 1131,,"Fall, Spring, Summer"
CS 2090,Special Topics in Computer Science,Computer Science,variable to   3.0;  May be repeated,,,On Demand
CS 2311,Discrete Structures,Computer Science,3.0,(CS 1121 or CS 1131) and (MA 1135 or MA 1160 or MA 1161),,"Fall, Spring, Summer"
CS 2321,Data Structures,Computer Science,3.0,CS 1122 or CS 1131,,"Fall, Spring, Summer"
CS 3000,Ethical and Social Aspects of Computing,Computer Science,2.0,CS 3141,,"Fall, Spring"
CS 3090,Special Topics in Computer Science,Computer Science,variable to   3.0;  May be repeated,,,On Demand
CS 3141,Team Software Project,Computer Science,3.0,CS 2311 and CS 2321,,"Fall, Spring"
CS 3311,Formal Models of Computation,Computer Science,3.0,CS 2311,,"Fall, Spring, Summer"
CS 3331,Concurrent Computing,Computer Science,3.0,CS 1142 or (CS 1141 and CS 1040) and CS 2311 and CS 2321,,"Fall, Spring"
CS 3411,Systems Programming,Computer Science,3.0,CS 3421,,"Fall, Spring, Summer"
CS 3421,Computer Organization,Computer Science,3.0,(CS 1141 and CS 1040) or CS 1142,,"Fall, Spring, Summer"
CS 3425,Introduction to Database Systems,Computer Science,3.0,CS 2311 and CS 2321,,"Fall, Spring"
CS 3712,Software Quality Assurance,Computer Science,3.0,CS 3141,,Spring
CS 4090,Special Topics in Computer Science,Computer Science,variable to   4.0;  May be repeated,,,On Demand
CS 4099,Directed Study in Computer Science,Computer Science,variable to   4.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
CS 4121,Programming Languages,Computer Science,3.0,CS 2321 and CS 3421 and CS 3311,,"Fall, Spring"
CS 4130,Compiler Design and Optimization,Computer Science,3.0,CS 4121,,"Fall, Spring"
CS 4321,Introduction to Algorithms,Computer Science,3.0,CS 2311 and CS 2321,,"Fall, Spring"
CS 4411,Operating Systems,Computer Science,3.0,CS 3331 and CS 3421,,Spring
CS 4425,Database Management System Design,Computer Science,3.0,CS 3425,,On Demand
CS 4431,Computer Architecture,Computer Science,3.0,CS 3421,,"Fall, Spring"
CS 4461,Computer Networks,Computer Science,3.0,CS 3411,,"Fall, Spring"
CS 4471,Computer Security,Computer Science,3.0,CS 3411 or CS 4411,,Fall
CS 4496,GPU and Multicore Programming,Computer Science,3.0,CS 3411 and CS 3421,,Fall
CS 4611,Computer Graphics,Computer Science,3.0,(CS 1141 or CS 1142) and CS 2321 and MA 2330,,Fall
CS 4710,Model-Driven Software Development,Computer Science,3.0,CS 3311 and CS 3141(C),,Spring
CS 4711,Software Processes and Management,Computer Science,3.0,CS 3141,,Fall
CS 4750,Teaching Methods in Computer Science,Computer Science,3.0,ED 4700,,On Demand
CS 4760,Human-Computer Interactions,Computer Science,3.0,CS 3141,,Spring
CS 4791,Senior Software Engineering Project I,Computer Science,3.0,CS 4710 or CS 4711 or CS 4712,,"Fall, Spring"
CS 4792,Senior Software Engineering Project II,Computer Science,3.0,CS 4791,,"Fall, Spring"
CS 4811,Artificial Intelligence,Computer Science,3.0,CS 2321 and CS 3311,,Spring
CS 4821,Data Mining,Computer Science,3.0,(CS 3425 or MIS 3100) and (MA 2330 or MA 2320 or MA 2321) and (MA 2710 or MA 2720 or MA 3710),,Spring
EC 2001,Principles of Economics,Economics,3.0,MA 1020 or MA 1031 or MA 1032 or MA 1135(C) or MA 1160(C) or MA 1161(C),,"Fall, Spring, Summer"
EC 3002,Microeconomic Theory,Economics,3.0,EC 2001 and (MA 1135 or MA 1160 or MA 1161) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
EC 3003,Macroeconomic Theory,Economics,3.0,EC 2001 and (MA 1135 or MA 1160 or MA 1161) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
EC 3100,International Economics,Economics,3.0,EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring, Summer"
EC 3300,Industrial Organization,Economics,3.0,EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring, Summer"
EC 3400,Economic Decision Analysis,Economics,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring, Summer"
EC 4000,Senior Seminar in Economics,Economics,3.0,,,Spring
EC 4050,Game Theory/Strategic Behavior,Economics,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Summer"
EC 4100,Mathematical Economics,Economics,3.0,EC 3002 and EC 3003 and (MA 1160 or MA 1161 or MA 1135),,Fall
EC 4200,Econometrics,Economics,3.0,(EC 2001 or EC 3002 or EC 3003) and (BUS 2100 or MA 2710 or MA 2720 or MA 3710) and (MA 1135 or MA 1160 or MA 1161),,Fall
EC 4400,Banking and Financial Institutions,Economics,3.0,(EC 3003 or FIN 3000) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring"
EC 4500,Public Sector Economics,Economics,3.0,EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
EC 4620,Energy Economics,Economics,3.0,EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
EC 4630,Mineral Industry Economics,Economics,3.0,EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring - Offered alternate years beginning with the 2009-2010 academic year "
EC 4640,Natural Resource Economics,Economics,3.0,(EC 2001 or EC 3002 or FW 4080) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
EC 4650,Environmental Economics,Economics,3.0,(EC 2001 or EC 3002) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
EC 4710,Labor/Human Resource Economics,Economics,3.0,EC 2001 and (MA 2710 or MA 2720 or MA 3710) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
EC 4900,Research,Economics,variable to   4.0;  Repeatable to a Max of 6,EC 2001,,On Demand
EC 4990,Special Topics in Economics,Economics,variable to   4.0;  Repeatable to a Max of 6,EC 2001,,On Demand
ED 0510,Graduate Teaching Assistant Training,Education,1.0,,,"Fall, Spring, Summer"
ED 2010,Field Study in Education: Elementary School,Education,1.0,,,"Fall, Spring"
ED 2020,Field Study in Education: Secondary School,Education,1.0,,,"Fall, Spring"
ED 3100,Instructional Technology,Education,2.0,,,Spring
ED 3110,Psychological Foundations of Learning,Education,3.0,,,"Fall, Spring"
ED 3210,Foundations of Education,Education,2.0,ED 3110(C) and ED 3410(C),"ED 3110, ED 3410",Fall
ED 3410,Clinical Experience,Education,1.0,,"ED 3110, ED 3210","Fall, Spring"
ED 3510,Communicating Science I,Education,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring"
ED 3511,Communicating Science II,Education,1.0,,,"Fall, Spring, Summer"
ED 4020,Methods of Teaching Social Studies,Education,2.0,ED 4700(C),,On Demand
ED 4140,Methods of Teaching English,Education,4.0,ED 4700(C),,Fall
ED 4150,Literacy in the Content Areas,Education,4.0,ED 3110 and ED 3210 and ED 3410,,"Fall, Spring"
ED 4510,Special Topics in Education,Education,variable to   6.0;  Repeatable to a Max of 9,,,"Fall, Spring"
ED 4700,Fundamentals of Instruction,Education,3.0,ED 3110 and ED 3210 and ED 3410,,"Fall, Spring"
ED 4720,Methods of Teaching Science,Education,2.0,ED 4700(C),,Fall
ED 4750,Teaching Methods in Computer Science,Education,3.0,ED 4700,,On Demand
ED 4850,Environmental Education Methods,Education,4.0,,,On Demand
